人气排序,小说名称,作者,小说类型,总点击数,会员周点击数,总字数,评论数,评分,小说性质,写作进程,授权状态,更新时间
1406,我的大脑是生物电脑,小雷g,都市小说,198403,34,1193698,801,8.4,公众作品,情节展开,Ａ级签约,2015/6/14 23:21
1407,魔门正宗,Deathstate,仙侠小说,262325,110,2466717,2973,9.6,公众作品,新书上传,Ａ级签约,2016/7/19 15:50
1408,游之轨迹,游系风,二次元小说,83028,36,2539137,1826,10,公众作品,连载中,Ａ级签约,2016/10/23 6:05
1409,宠物小精灵幻想录,间野石,二次元小说,408010,5,372403,882,9.6,VIP作品,新书上传,专属作品,2015/3/16 17:29
1410,韩娱之篮球梦,0逍0遥0,职场小说,74833,24,552137,1016,0,VIP作品,新书上传,专属作品,2016/5/14 18:33
1411,穿梭在动漫世界,夜间袭击的大叔,二次元小说,66076,19,286922,556,0,VIP作品,新书上传,专属作品,2016/1/6 18:16
1412,我的老婆是军阀,录事参军,历史小说,8287578,186,2459810,39676,9.7,公众作品,已经完本,Ａ级签约,2016/4/20 14:20
1413,网游之弱者的反击,一口大西瓜,游戏小说,75764,1,460663,411,10,公众作品,新书上传,Ａ级签约,2015/7/21 15:55
1414,重生吸血鬼日记,寻找阳光,奇幻小说,87770,4,422937,906,10,VIP作品,新书上传,Ａ级,2015/4/5 23:57
1415,宝宝龙的极品奶爸,酉戌,都市小说,331476,9,1876423,2465,9.6,公众作品,已经完本,Ａ级签约,2016/8/13 20:53
1416,九流闲人,九城君,仙侠小说,5464638,265,8719428,9389,8.3,公众作品,新书上传,Ａ级签约,2016/10/23 19:00
1417,尤里的无限恐怖,虚空来使,二次元小说,30964,1,142269,956,10,VIP作品,情节展开,专属作品,2015/10/20 20:58
1418,都市娱乐全才,司马青雨,职场小说,298552,84,1879673,2035,8.2,公众作品,已经完本,Ａ级签约,2016/7/17 7:09
1419,幻想乡的记忆妖,橘子糊了,二次元小说,30512,10,308300,1107,0,VIP作品,新书上传,专属作品,2016/10/15 23:04
1420,宅男之武道苍穹,勇敢的棠,游戏小说,235547,31,2293008,2546,9.9,公众作品,新书上传,Ａ级签约,2016/9/1 22:01
1421,剑逆苍穹,EK巧克力,玄幻小说,5998753,79,3550161,28315,9.8,公众作品,已经完本,Ａ级签约,2016/6/12 12:42
1422,我只是个路过的骑士,渚聿,二次元小说,261721,0,158265,682,9.8,VIP作品,新书上传,专属作品,2016/5/30 15:40
1423,巨树领主,不游泳之鱼,玄幻小说,278317,23,428424,1014,10,公众作品,新书上传,Ａ级签约,2015/6/26 7:01
1424,航空梦,五彩贝壳,都市小说,498051,119,2091146,5255,9.5,公众作品,已经完本,Ａ级签约,2016/1/28 18:19
1425,血蔷薇与勇者,海德涅的悲伤,奇幻小说,54874,11,101120,560,10,VIP作品,新书上传,Ａ级,2016/10/11 10:09
1426,韩娱之完美邻居,风兮扬,职场小说,461848,35,963668,1458,9.7,VIP作品,新书上传,Ａ级,2016/6/6 0:30
1427,影视纵横者,妖怪小老头,科幻小说,372733,12,470291,1014,10,公众作品,已经完本,Ａ级签约,2015/12/9 0:10
1428,最强锋卫,海贼路飞,体育小说,191840,39,1243662,1184,10,公众作品,已经完本,Ａ级签约,2015/10/24 1:17
1429,超级玄师系统,鼎定九天,玄幻小说,295636,10,1777076,2109,9.8,公众作品,已经完本,Ａ级签约,2016/1/21 9:31
1430,武侠仙侠兑换系统,六虚剑魂,玄幻小说,95137,15,786799,788,0,VIP作品,新书上传,专属作品,2015/10/2 19:14
1431,十号传奇,神眼,体育小说,84798,47,1284697,508,10,公众作品,暂　停,Ａ级签约,2016/7/2 23:32
1432,天下枭雄,高月,历史小说,8223765,196,3514188,34227,9.8,公众作品,已经完本,Ａ级签约,2013/4/24 8:33
1433,异界最强战斗法师,木木狂歌,游戏小说,1481363,16,3144646,3203,9.8,公众作品,已经完本,Ａ级签约,2015/10/31 17:08
1434,极品操盘手之暗战风云,粮食与思想06,职场小说,88563,5,898337,685,9.8,公众作品,新书上传,潜力签约,2015/10/16 18:01
1435,电影之王,子爪,科幻小说,356008,28,1559172,3084,9.9,公众作品,已经完本,Ａ级签约,2015/3/21 11:39
1436,系统农场,倔强的顽石,都市小说,219967,110,1196793,1098,10,公众作品,已经完本,Ａ级签约,2016/3/26 23:45
1437,魔尊重生传,妩媚的小石头,仙侠小说,158002,127,2839561,2101,10,公众作品,连载中,Ａ级签约,2016/10/23 20:06
1438,某博丽的宠物养成计划,闹闹,二次元小说,28021,1,269241,509,10,VIP作品,新书上传,专属作品,2015/5/10 23:25
1439,都市灵宝大亨,凌凌三,仙侠小说,81217,69,718097,1112,9.5,VIP作品,新书上传,Ａ级,2016/2/2 23:56
1440,抗日之超级战兵,破锋八刀,军事小说,246328,636,3619886,1903,9.1,公众作品,已经完本,签约作品,2016/10/19 9:15
1441,决胜天下,韦编三折,历史小说,81817,0,207579,289,0,VIP作品,已经完本,Ａ级,2015/2/28 23:59
1442,瘟仙,黑山老鬼,仙侠小说,501352,13,1002892,2795,9.8,公众作品,已经完本,Ａ级签约,2015/3/18 18:01
1443,最后一个巫师,庚新,都市小说,1119706,33,515055,1436,10,公众作品,新书上传,Ａ级签约,2015/6/5 18:21
1444,国医大师,九鼎八簋,都市小说,1446689,230,6721571,4336,9.6,公众作品,接近尾声,Ａ级签约,2016/10/23 14:10
1445,明末之誓死不降,寂寞不知从何说起,历史小说,165395,11,782551,1784,10,VIP作品,已经完本,Ａ级,2015/10/5 20:01
1446,浪客七实,鹧鸪川鹦鹉,二次元小说,107259,4,288256,2579,10,VIP作品,新书上传,专属作品,2016/5/10 21:23
1447,鬼吹灯II,本物天下霸唱,灵异小说,5236450,55,1029194,1827,8.6,公众作品,已经完本,Ａ级签约,2008/5/13 21:43
1448,人类已经无法满足吾等,星熊勇仪,游戏小说,320895,12,1181624,2161,9.6,公众作品,已经完本,Ａ级签约,2015/2/20 22:38
1449,圣斗士游星,即便是我,二次元小说,203001,118,1743413,1101,10,VIP作品,新书上传,专属作品,2016/5/20 22:24
1450,赤血龙骑,虎牢,奇幻小说,4053106,118,8839096,12632,9.5,公众作品,已经完本,Ａ级签约,2014/1/22 23:21
1451,道术宗师,南真,都市小说,241810,47,1032988,1021,10,公众作品,已经完本,Ａ级签约,2015/7/8 18:24
1452,走进修仙,吾道长不孤,仙侠小说,755348,1047,3574979,28323,9.9,公众作品,新书上传,Ａ级签约,2016/10/22 2:14
1453,宋成贺的韩娱,锤头剪刀布,职场小说,22071,1,122390,159,10,VIP作品,新书上传,专属作品,2015/5/19 23:57
1454,灵山,徐公子胜治,仙侠小说,6647997,116,1963568,17770,8.3,公众作品,已经完本,Ａ级签约,2009/11/6 20:13
1455,超级进化基地岛,徐徐苍蓝,都市小说,257999,50,1675054,1363,10,公众作品,已经完本,Ａ级签约,2016/7/4 12:05
1456,极品天王,我本疯狂,都市小说,7328043,169,2729499,13884,9.5,公众作品,已经完本,Ａ级签约,2012/5/20 10:29
1457,二次元冒险,屋头,科幻小说,34884,9,353208,283,0,VIP作品,新书上传,Ａ级,2015/6/18 12:13
1458,魔法老师巅峰旅途,散落封尘,二次元小说,83923,18,933952,597,0,VIP作品,接近尾声,专属作品,2016/10/13 0:51
1459,剑道无双,焚城火,仙侠小说,40724,0,273446,315,10,VIP作品,新书上传,Ａ级,2015/4/14 21:53
1460,武侠世界的魔王,大魔王殿,武侠小说,273823,40,1429547,1202,10,公众作品,新书上传,Ａ级签约,2016/10/1 11:07
1461,漫威世界大导演,晶心思动,职场小说,255351,23,496778,785,0,公众作品,情节展开,Ａ级签约,2015/8/20 23:25
